Combo,y_pred
ILGV,0.9287931323051453
VLGV,0.9245187044143677
IVGV,0.9224262833595276
VIGV,0.9217082262039185
IIGV,0.9211400747299194
VVGV,0.9196765422821045
VFGV,0.9141685962677002
KFAV,0.9119805693626404
IFGV,0.9114384055137634
KFGV,0.911141037940979
KFSV,0.9106839895248413
QFKV,0.910294771194458
VLGI,0.9088020324707031
ILGI,0.9083318114280701
IIGT,0.9082052707672119
VYGV,0.9075996279716492
ILGT,0.9075868129730225
VVGI,0.9072654247283936
IYGV,0.907249927520752
VIGT,0.9068909883499146
IVGT,0.9068435430526733
AFKV,0.9065957069396973
VFKV,0.9060179591178894
LLGV,0.9051979184150696
IVGI,0.9051318764686584
KFKV,0.904294490814209
VLGT,0.9035949110984802
VIGI,0.9035786390304565
ILSV,0.9029910564422607
YFKV,0.9025429487228394
